ZIP,Population_gt18_c,Laborer_c,Unemployment_c,Median_male_income,Median_female_income,Civilian_pop,Uninsured_c,Females_c,Commuters_c,Drive_alone_c,Carpooled_c,Pub_trans_c,Walked_c,Home_c,Travel_time,Median_income,Laborer_p,Unemployment_p,Uninsured_p,Females_p,Drive_alone_p,Carpooled_p,Pub_trans_p,Walked_p,Home_p,mpg_min,mpg_mean,mpg_max,mpg_std,curbwt_mean,mcycle_frac,hybrid_frac,mpd_std,mpd_max,mpd_min,mpd_mean,car_frac,truck_frac,suv_frac,msrp_std,msrp_max,msrp_mean,vehicles,msrp_min,gender_income_inequality
1039,1362.0,973.0,36.0,48177.0,49148.0,1532.0,28.0,628.0,929.0,813.0,53.0,0.0,0.0,60.0,22.9,74464.0,71.4,2.6,1.8,628.0,87.5,5.7,0.0,0.0,6.5,0.0,19.4677858439,51.0,8.50320259004,3408.03085299,0.0,2.13248638838,105.521965434,4484.0,0.0,28.2715154265,48.7295825771,21.279491833,16.6515426497,8140.7886919,90000.0,21625.6805808,2204.0,0.0,-971.0
1040,31079.0,17803.0,2265.0,43930.0,39636.0,38937.0,1611.0,16757.0,15071.0,11526.0,1649.0,533.0,706.0,340.0,20.2,34961.0,57.3,7.3,4.1,16757.0,76.5,10.9,3.5,4.7,2.3,0.0,21.6816490389,57.0,5.48318562247,3513.56213594,0.0794320962917,0.840835253539,4504.00003595,1680638.47,0.0,42.8134012681,58.330351648,5.8479197378,25.7424396388,7854.93489207,95000.0,24713.5292181,139742.0,0.0,4294.0
1050,2050.0,1454.0,71.0,51887.0,34625.0,2670.0,85.0,1081.0,1316.0,1150.0,114.0,0.0,17.0,31.0,34.5,64271.0,70.9,3.5,3.2,1081.0,87.4,8.7,0.0,1.3,2.4,0.0,17.8433448002,51.0,7.33544121072,3644.29743318,0.158772161948,0.873246890712,92.6307108424,3868.27,0.0,27.531161683,35.9618946811,31.5162741466,24.6096851019,8203.47773627,70000.0,22465.4670548,3779.0,0.0,17262.0
1053,1624.0,857.0,126.0,55441.0,36583.0,1618.0,48.0,754.0,720.0,615.0,21.0,22.0,0.0,56.0,23.0,67031.0,52.8,7.8,3.0,754.0,85.4,2.9,3.1,0.0,7.8,0.0,21.7883710988,51.0,6.94929219226,3309.53398888,0.171013253527,2.8217186832,32.7720110337,575.19,0.0,24.9718597691,57.9307396323,14.1941000428,18.1701581873,6672.61155113,62000.0,21670.799487,2339.0,0.0,18858.0
1054,1522.0,1083.0,47.0,49542.0,48750.0,1812.0,72.0,780.0,1011.0,814.0,100.0,0.0,21.0,68.0,25.6,76875.0,71.2,3.1,4.0,780.0,80.5,9.9,0.0,2.1,6.7,0.0,21.1276656241,51.0,8.55560807328,3201.05203298,0.0284333238556,5.85726471425,91.3940960887,3602.33,0.0,27.2456269548,60.5061131646,14.7853284049,14.8706283765,8283.75323415,111000.0,21480.5231732,3517.0,0.0,792.0
1056,17679.0,10762.0,786.0,54226.0,42888.0,19952.0,570.0,8881.0,9813.0,8605.0,975.0,12.0,38.0,146.0,22.2,60774.0,60.9,4.4,2.9,8881.0,87.7,9.9,0.1,0.4,1.5,0.0,18.6318243374,51.0,6.90470738114,3481.1781776,0.417875798027,0.348229831689,177.639961589,27141.87,0.0,24.834972722,50.7641710195,17.175469143,19.659508609,9362.71577479,124000.0,23138.9630489,51690.0,0.0,11338.0
1057,6918.0,4921.0,473.0,67621.0,41667.0,8425.0,382.0,3530.0,4396.0,4040.0,209.0,0.0,36.0,111.0,31.7,64538.0,71.1,6.8,4.5,3530.0,91.9,4.8,0.0,0.8,2.5,0.0,17.5600751843,51.0,7.69283417363,3452.35433033,0.5735216155,0.5735216155,330.844826189,45375.0,0.0,29.2765786303,41.6887560846,21.8371969733,21.8661140296,9349.59278218,100000.0,21960.1426575,20749.0,0.0,25954.0
1060,13257.0,9335.0,657.0,51094.0,50062.0,14787.0,624.0,8168.0,8476.0,4624.0,644.0,358.0,1530.0,875.0,20.3,50807.0,70.4,5.0,4.2,8168.0,54.6,7.6,4.2,18.1,10.3,0.0,22.2064438294,51.0,7.33977912541,3148.73678234,0.120644382939,3.44901000639,106.62109526,11003.44,0.0,24.3528124335,70.9459938968,7.5225321127,11.9721808246,7902.0434202,150000.0,21090.6961891,28182.0,0.0,1032.0
1062,8979.0,6184.0,482.0,54846.0,53491.0,10552.0,249.0,4784.0,5590.0,4284.0,602.0,97.0,108.0,373.0,21.5,63954.0,68.9,5.4,2.4,4784.0,76.6,10.8,1.7,1.9,6.7,0.0,21.0634401309,51.0,7.02156786038,3298.33220285,0.24737661094,2.42987671069,82.7542009174,11003.44,0.0,23.6988688505,59.905039301,13.1189402705,16.1233691098,7620.12318247,96000.0,21549.2159757,25063.0,0.0,1355.0
1063,671.0,319.0,39.0,,,671.0,15.0,656.0,280.0,19.0,13.0,4.0,161.0,75.0,8.5,,47.5,5.8,2.2,656.0,6.8,4.6,1.4,57.5,26.8,0.0,11.0211640212,34.0,9.80607588028,3371.42857143,0.0,1.5873015873,29.9221198443,210.16,0.0,15.5417460317,7.93650793651,14.2857142857,0.529100529101,10684.7643879,31000.0,18455.026455,189.0,0.0,
1066,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,14.343387471,47.0,10.0300917771,3275.87006961,0.0,1.39211136891,31.6259783785,287.42,0.0,23.0456148492,28.5382830626,30.162412993,6.49651972158,12833.4343695,64000.0,20879.350348,431.0,0.0,
1068,1450.0,1087.0,98.0,56071.0,52625.0,1796.0,81.0,742.0,975.0,830.0,79.0,6.0,8.0,46.0,35.0,83519.0,75.0,6.8,4.5,742.0,85.1,8.1,0.6,0.8,4.7,0.0,17.5325795894,51.0,8.56968429113,3507.05147278,0.0595060993752,1.04135673907,339.042517852,19399.38,0.0,34.6782772984,41.1187146683,27.045522166,20.4403451354,9380.48554465,65000.0,22220.7676287,3361.0,0.0,3446.0
1069,7334.0,4733.0,471.0,55601.0,42459.0,8757.0,411.0,3848.0,4173.0,3619.0,337.0,0.0,91.0,126.0,26.0,52347.0,64.5,6.4,4.7,3848.0,86.7,8.1,0.0,2.2,3.0,0.0,18.3552311436,51.0,7.51199017964,3359.37246553,0.314274128143,0.380170316302,82.9110449701,7461.25,0.0,26.9386344282,47.9876317924,18.7804136253,19.0389294404,8985.60831621,130000.0,21295.9752636,19728.0,0.0,13142.0
1070,468.0,292.0,27.0,50313.0,37045.0,527.0,33.0,237.0,250.0,200.0,18.0,3.0,0.0,24.0,36.9,57000.0,62.4,5.8,6.3,237.0,80.0,7.2,1.2,0.0,9.6,0.0,19.5046728972,58.0,8.96869433835,3305.47396529,0.0,1.73564753004,46.2109104102,564.7,0.0,26.852777036,46.5954606142,28.8384512684,14.0186915888,7789.85651919,47000.0,20583.4445928,749.0,0.0,13268.0
1071,1214.0,912.0,62.0,52188.0,50990.0,1485.0,56.0,587.0,811.0,671.0,110.0,0.0,6.0,24.0,31.5,72083.0,75.1,5.1,3.8,587.0,82.7,13.6,0.0,0.7,3.0,0.0,16.9444212286,47.0,7.94161407546,3568.90931885,1.25365649812,0.0417885499373,42.9911527687,1093.43,0.0,23.7926117844,35.2695361471,31.5503552027,19.0555787714,9169.65167121,77000.0,21699.1224405,2393.0,0.0,1198.0
1072,1179.0,913.0,60.0,53490.0,46250.0,1446.0,31.0,594.0,828.0,668.0,63.0,8.0,13.0,68.0,29.7,65500.0,77.4,5.1,2.1,594.0,80.7,7.6,1.0,1.6,8.2,0.0,21.2739116619,57.0,8.56254592235,3221.0994598,0.031776294884,4.60756275818,69.0887781334,3308.39,0.0,27.1377629488,64.1563393708,12.9329520178,13.8862408643,6687.54388534,60000.0,21130.600572,3147.0,0.0,7240.0
1073,4767.0,3444.0,150.0,54940.0,47825.0,5807.0,151.0,2325.0,3272.0,2807.0,370.0,0.0,14.0,71.0,25.7,76264.0,72.2,3.1,2.6,2325.0,85.8,11.3,0.0,0.4,2.2,0.0,18.1880170987,51.0,7.69082225608,3526.36514065,0.482625482625,0.682570325427,58.3495197544,3603.27,0.0,24.1258473525,43.2984004413,22.0077220077,21.6629895201,9072.77924739,89000.0,22722.6282405,14504.0,0.0,7115.0
1074,242.0,172.0,0.0,51420.0,,271.0,0.0,104.0,172.0,97.0,75.0,0.0,0.0,0.0,27.1,77159.0,71.1,0.0,0.0,104.0,56.4,43.6,0.0,0.0,0.0,0.0,19.1115879828,31.0,7.57531324806,3146.78111588,0.0,0.429184549356,66.9215559986,992.97,0.0,28.0256866953,55.7939914163,16.0944206009,13.30472103,8384.06423591,47000.0,19122.3175966,466.0,0.0,
1075,15241.0,9897.0,644.0,54216.0,47870.0,17552.0,486.0,9084.0,9070.0,7046.0,511.0,26.0,775.0,629.0,20.7,60931.0,64.9,4.2,2.8,9084.0,77.7,5.6,0.3,8.5,6.9,0.0,19.6630138396,51.0,6.75660217246,3436.70576735,0.185213767557,0.890055049648,97.5170760015,14416.0,0.0,23.6653025158,56.7114266605,13.734115347,19.0744456449,8716.03336409,137000.0,22911.3031846,38874.0,0.0,6346.0
1077,7755.0,5281.0,356.0,64970.0,40809.0,9480.0,296.0,3997.0,4837.0,4220.0,343.0,0.0,11.0,238.0,24.1,75743.0,68.1,4.6,3.1,3997.0,87.2,7.1,0.0,0.2,4.9,0.0,17.6747361887,51.0,7.46026547026,3564.06402412,0.332535248736,0.434512725016,221.584100618,26190.48,0.0,27.2561620998,43.3625964352,22.9981378026,19.6284472821,9584.91480307,96000.0,23083.0451361,22554.0,0.0,24161.0
1079,448.0,333.0,37.0,41486.0,29637.0,492.0,36.0,244.0,296.0,265.0,21.0,0.0,0.0,10.0,22.2,41250.0,74.3,8.3,7.3,244.0,89.5,7.1,0.0,0.0,3.4,0.0,18.6507246377,35.0,6.28828761729,3484.92753623,0.0,0.0,88.2402363494,1719.76,0.0,30.162057971,48.8405797101,21.884057971,17.1014492754,9776.46341318,76000.0,22036.2318841,690.0,0.0,11849.0
1080,1883.0,1258.0,181.0,40264.0,36970.0,2329.0,187.0,993.0,981.0,875.0,83.0,0.0,23.0,0.0,26.7,38173.0,66.8,9.6,8.0,993.0,89.2,8.5,0.0,2.3,0.0,0.0,18.7848722986,33.0,7.19390462182,3365.06221349,0.0,0.130975769483,82.6642634057,3611.92,0.0,25.5056188605,50.9495743287,19.875573019,16.699410609,8419.68581866,92000.0,21201.0478062,3054.0,0.0,3294.0
1081,1525.0,1091.0,97.0,53333.0,38264.0,1862.0,116.0,697.0,957.0,804.0,95.0,0.0,24.0,28.0,38.0,61447.0,71.5,6.4,6.2,697.0,84.0,9.9,0.0,2.5,2.9,0.0,17.3805803571,36.0,7.87763852915,3360.3422619,0.669642857143,0.558035714286,50.812114613,920.93,0.0,27.187265625,40.9970238095,26.7485119048,16.1086309524,9506.74286588,151000.0,20772.6934524,2688.0,0.0,15069.0
1082,8248.0,5505.0,636.0,53107.0,41949.0,10251.0,495.0,4259.0,4729.0,4064.0,353.0,0.0,121.0,168.0,30.6,53362.0,66.7,7.7,4.8,4259.0,85.9,7.5,0.0,2.6,3.6,0.0,18.2501243387,51.0,7.01644681881,3474.46760411,0.194420581453,0.298412985486,118.696308421,15625.49,0.0,25.1175842112,43.7808020979,21.4676493195,23.2988199123,8761.60618985,84000.0,22016.2318578,22117.0,0.0,11158.0
1083,2397.0,1383.0,123.0,49485.0,35026.0,2895.0,74.0,1162.0,1229.0,1027.0,91.0,0.0,30.0,59.0,33.0,39833.0,57.7,5.1,2.6,1162.0,83.6,7.4,0.0,2.4,4.8,0.0,18.2425697989,51.0,7.31139789227,3459.48664065,0.540378264785,0.480336235365,421.402734736,33569.4,0.0,33.8967036926,43.4854398079,21.810267187,20.0090063044,8737.4978658,66000.0,21547.4332032,6662.0,0.0,14459.0
1084,212.0,134.0,11.0,46875.0,37250.0,239.0,3.0,110.0,123.0,105.0,8.0,0.0,3.0,7.0,34.4,66250.0,63.2,5.2,1.3,110.0,85.4,6.5,0.0,2.4,5.7,0.0,11.1494252874,30.0,9.47398977327,3103.44827586,0.0,0.0,38.6556062945,329.92,0.0,21.0120689655,13.7931034483,45.9770114943,11.4942528736,11867.598004,37000.0,17701.1494253,87.0,0.0,9625.0
1085,32839.0,21379.0,1654.0,55103.0,41914.0,40155.0,1645.0,17373.0,19236.0,16090.0,1603.0,40.0,537.0,807.0,23.6,57374.0,65.1,5.0,4.1,17373.0,83.6,8.3,0.2,2.8,4.2,0.0,18.9547709183,58.0,6.75843470012,3500.48238761,0.532723707254,0.533772375969,100.106411655,26190.48,0.0,23.4800845227,50.5363940478,16.0897240953,20.6776497237,8935.55020078,116000.0,22984.3433761,95359.0,0.0,13189.0
1086,1298.0,33.0,0.0,,,1298.0,5.0,718.0,33.0,10.0,0.0,0.0,19.0,4.0,,,2.5,0.0,0.4,718.0,30.3,0.0,0.0,57.6,12.1,0.0,10.2659956866,51.0,9.67454501732,2955.643422,0.0,0.934579439252,54.0330787053,742.11,0.0,34.0685765636,18.9791516894,22.7174694464,10.1365923796,15164.8536084,88000.0,18736.1610352,1391.0,0.0,
1088,571.0,231.0,10.0,53750.0,54375.0,595.0,26.0,318.0,221.0,176.0,0.0,9.0,10.0,26.0,27.1,31897.0,40.5,1.8,4.4,318.0,79.6,0.0,4.1,4.5,11.8,0.0,17.3953488372,51.0,10.6926454397,3014.490161,0.0,2.14669051878,56.1606636801,633.01,0.0,25.6953488372,47.7638640429,17.5313059034,12.343470483,10912.2317264,61000.0,18983.8998211,559.0,0.0,-625.0
1089,23077.0,15069.0,1455.0,52169.0,40776.0,28170.0,1428.0,12034.0,13306.0,11389.0,1027.0,146.0,286.0,401.0,19.4,54434.0,65.3,6.3,5.1,12034.0,85.6,7.7,1.1,2.1,3.0,0.0,19.4817175499,51.0,6.65258831146,3400.23881753,0.237203898535,0.509907700252,146.868850561,25910.25,0.0,24.8551066611,56.9821855031,10.808106887,18.0597689279,9325.19513557,168000.0,22757.1645259,61972.0,0.0,11393.0
1092,1112.0,755.0,92.0,51964.0,64327.0,1440.0,0.0,651.0,581.0,449.0,60.0,0.0,1.0,71.0,25.9,54527.0,67.9,8.3,0.0,651.0,77.3,10.3,0.0,0.2,12.2,0.0,18.236248237,32.0,7.29080669562,3466.22002821,0.0705218617772,0.0,102.367001333,3459.42,0.0,27.7082933709,47.461212976,25.5289139633,16.2200282087,9104.44837806,61000.0,21537.3765867,1418.0,0.0,-12363.0
1093,264.0,219.0,20.0,54583.0,43750.0,298.0,4.0,117.0,199.0,171.0,23.0,0.0,0.0,5.0,18.4,80625.0,83.0,7.6,1.3,117.0,85.9,11.6,0.0,0.0,2.5,0.0,17.875498008,51.0,9.38881848568,3449.10358566,0.249003984064,4.13346613546,105.366038844,4103.68,0.0,28.6952141434,44.2729083665,27.5896414343,13.4960159363,10064.6228,83000.0,22186.2549801,2008.0,0.0,10833.0
1094,220.0,107.0,11.0,41429.0,60417.0,240.0,0.0,112.0,96.0,96.0,0.0,0.0,0.0,0.0,32.2,16434.0,48.6,5.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,16.7403100775,32.0,9.6530474967,2958.52713178,0.0,0.387596899225,6920.16068759,111174.0,0.0,457.781821705,44.1860465116,29.0697674419,5.81395348837,11653.1821793,54000.0,18887.5968992,258.0,0.0,-18988.0
